      R(m)            Z(m)
 
 0.598183E+00    0.000000E+00
 0.597343E+00    0.269475E-01
 0.594831E+00    0.537887E-01
 0.590672E+00    0.804176E-01
 0.584904E+00    0.106729E+00
 0.577584E+00    0.132620E+00
 0.568779E+00    0.157986E+00
 0.558573E+00    0.182730E+00
 0.547061E+00    0.206752E+00
 0.534349E+00    0.229958E+00
 0.520554E+00    0.252257E+00
 0.505799E+00    0.273561E+00
 0.490217E+00    0.293784E+00
 0.473942E+00    0.312848E+00
 0.457116E+00    0.330678E+00
 0.439878E+00    0.347202E+00
 0.422370E+00    0.362357E+00
 0.404732E+00    0.376081E+00
 0.387097E+00    0.388321E+00
 0.369598E+00    0.399028E+00
 0.352358E+00    0.408161E+00
 0.335493E+00    0.415683E+00
 0.319109E+00    0.421564E+00
 0.303305E+00    0.425782E+00
 0.288164E+00    0.428319E+00
 0.273762E+00    0.429166E+00
 0.260160E+00    0.428319E+00
 0.247406E+00    0.425782E+00
 0.235537E+00    0.421564E+00
 0.224577E+00    0.415683E+00
 0.214536E+00    0.408161E+00
 0.205414E+00    0.399028E+00
 0.197200E+00    0.388321E+00
 0.189869E+00    0.376081E+00
 0.183392E+00    0.362357E+00
 0.177726E+00    0.347202E+00
 0.172825E+00    0.330678E+00
 0.168634E+00    0.312848E+00
 0.165097E+00    0.293784E+00
 0.162150E+00    0.273561E+00
 0.159732E+00    0.252257E+00
 0.157779E+00    0.229958E+00
 0.156228E+00    0.206752E+00
 0.155020E+00    0.182730E+00
 0.154099E+00    0.157986E+00
 0.153412E+00    0.132620E+00
 0.152916E+00    0.106729E+00
 0.152572E+00    0.804176E-01
 0.152348E+00    0.537887E-01
 0.152223E+00    0.269475E-01
 0.152183E+00    0.525576E-16
 0.152223E+00   -0.269475E-01
 0.152348E+00   -0.537887E-01
 0.152572E+00   -0.804176E-01
 0.152916E+00   -0.106729E+00
 0.153412E+00   -0.132620E+00
 0.154099E+00   -0.157986E+00
 0.155020E+00   -0.182730E+00
 0.156228E+00   -0.206752E+00
 0.157779E+00   -0.229958E+00
 0.159732E+00   -0.252257E+00
 0.162150E+00   -0.273561E+00
 0.165097E+00   -0.293784E+00
 0.168634E+00   -0.312848E+00
 0.172825E+00   -0.330678E+00
 0.177726E+00   -0.347202E+00
 0.183392E+00   -0.362357E+00
 0.189869E+00   -0.376081E+00
 0.197200E+00   -0.388321E+00
 0.205414E+00   -0.399028E+00
 0.214536E+00   -0.408161E+00
 0.224577E+00   -0.415683E+00
 0.235537E+00   -0.421564E+00
 0.247406E+00   -0.425782E+00
 0.260160E+00   -0.428319E+00
 0.273762E+00   -0.429166E+00
 0.288164E+00   -0.428319E+00
 0.303305E+00   -0.425782E+00
 0.319109E+00   -0.421564E+00
 0.335493E+00   -0.415683E+00
 0.352358E+00   -0.408161E+00
 0.369598E+00   -0.399028E+00
 0.387097E+00   -0.388321E+00
 0.404732E+00   -0.376081E+00
 0.422370E+00   -0.362357E+00
 0.439878E+00   -0.347202E+00
 0.457116E+00   -0.330678E+00
 0.473942E+00   -0.312848E+00
 0.490217E+00   -0.293784E+00
 0.505799E+00   -0.273561E+00
 0.520554E+00   -0.252257E+00
 0.534349E+00   -0.229958E+00
 0.547061E+00   -0.206752E+00
 0.558573E+00   -0.182730E+00
 0.568779E+00   -0.157986E+00
 0.577584E+00   -0.132620E+00
 0.584904E+00   -0.106729E+00
 0.590672E+00   -0.804176E-01
 0.594831E+00   -0.537887E-01
 0.597343E+00   -0.269475E-01
 0.598183E+00   -0.105115E-15
